"","x"
"1",589.339925848585
"2",543.313959615101
"3",500.882505605908
"4",461.76484145518
"5",425.702168507943
"6",392.455899633396
"7",361.806080755693
"8",333.549935659206
"9",307.500524440839
"10",283.485506733844
"11",261.346001520742
"12",240.93553599199
"13",222.119076496146
"14",204.772135170384
"15",188.779946340924
"16",174.036707244514
"17",160.444878047656
"18",147.914536532573
"19",136.362783180571
"20",125.713192716908
"21",115.895308488616
"22",106.84417633015
"23",98.4999148329584
"24",90.807319175919
"25",83.7154958956176
"26",77.177526180155
"27",71.1501554588571
"28",65.5935072342502
"29",60.4708192630384
"30",55.7482003406836
"31",51.394406080498
"32",47.3806322038258
"33",43.6803239737421
"34",40.2690005115004
