"","x"
"1",7408
"2",7093.82376347499
"3",6771.50394576737
"4",6442.25070206119
"5",6108.26847669807
"6",5771.59087996901
"7",5434.08482820569
"8",5097.44777934378
"9",4763.21443670498
"10",4432.75378801251
"11",4107.27139072055
"12",3787.80877122302
"13",3474.43825181753
"14",3168.60599785018
"15",2869.95490073159
"16",2578.81627669007
"17",2295.40579048764
"18",2019.82208524827
"19",1751.07574688809
"20",1489.07437275075
"21",1233.64637977138
"22",984.541401245031
"23",741.430239188159
"24",503.133883386556
"25",270.008644761926
"26",40.8760530225901
